title,link,date,summary,description
Mounting risks threaten survival of wild European pollinators – IUCN Red List,https://environment.ec.europa.eu/news/mounting-risks-threaten-survival-wild-european-pollinators-2025-10-11_en,11 October 2025,Nearly 100 additional wild bee species in Europe have been classified as threatened in a new assessment for the IUCN Red List of Threatened Species.,"Abu Dhabi, United Arab Emirates, 11 October 2025 (IUCN) – Nearly 100 additional wild bee species in Europe have been classified as threatened in a new assessment for the IUCN Red List of Threatened Species™, with more than 20% of species in groups such as bumblebees and cellophane bees now facing a risk of extinction. New IUCN Red List assessments also reveal that the number of threatened European butterfly species increased by a sharp 76% over the last decade.
Funded by the European Commission, the latest European-level assessments for the IUCN Red List re-evaluate the conservation status of a large number of species groups for the first time since the early and mid-2010s: bees, butterflies, mammals, amphibians, reptiles, freshwater fishes and molluscs, saproxylic (wood-dependent) beetles, dragonflies and damselflies.
“Beyond their beauty and cultural significance, pollinators like bees and butterflies are lifelines for our health, our food systems and our economies – sustaining the fruits, vegetables and seeds that nourish us. In fact, four out of five crop and wildflower species in the EU rely on insect pollination. The latest European Red List assessments reveal serious challenges, with threats mounting for butterflies and crucial wild bee species. Yet this knowledge is powerful: by highlighting the pressures species face, the Red List also helps us chart the path forward. It provides the data needed to drive urgent conservation action, guide recovery efforts and support European countries in delivering on the Global Biodiversity Framework targets. While the challenges are real, this work illuminates the solutions – helping us secure a thriving future for people and nature alike,” said Dr Grethel Aguilar, IUCN Director General.
“The new assessment shows that the conservation status of European wild bees, butterflies and other pollinators is dire. These are the foundation for our food systems, our ecosystems and our societies. Urgent and collective action is needed to tackle this threat. Together with Member States, the European Commission has put in place an EU-wide monitoring system for pollinators based on the EU Nature Restoration Regulation, which will help to track our progress. Now, we need to focus on implementation and cooperation with Member States to protect our pollinators,” said Jessika Roswall, EU Commissioner for Environment, Water Resilience and a Competitive Circular Economy.
Growing threats to wild bees, bumblebees and butterflies
An estimated 10% of wild bees in Europe (at least 172 out of 1,928 assessed species) are at risk of extinction. That compares to 77 threatened species in 2014. At the time, 57% of wild bee species were considered Data Deficient, a percentage that has been reduced to 14% in the new assessment – making it the most comprehensive evaluation of the status of European wild bees to date.
Fifteen species of bumblebees – known for their role in pollinating legume plants like peas, beans, peanuts and clover – as well as 14 species of cellophane bees – which help pollinate plants in the daisy family and trees such as red maples and willows – are now classified as threatened. The mining bee species Simpanurgus phyllopodus, the only species of this genus in Europe and unique to the continent, is now assessed as Critically Endangered.
New Red List assessments indicate that 15% of butterflies in Europe face extinction risk (65 out of 442 assessed species), up from 37 species in 2010. Over 40% of butterflies unique to the European region and found nowhere else in the world are now threatened or close to being so. One species, the Madeiran large white (Pieris wollastoni), which was restricted to the Portuguese island of Madeira, is now officially classified as Extinct.
Intensive agriculture, pollution and rising temperatures pose main threats
Habitat loss continues to rank as the main threat to European wild bees and butterflies but now affects a greater number of species. European pollinators are largely dependent on traditional rural landscapes, particularly flower-rich meadows created by non-intensive management. Agricultural and forestry intensification, combined with land abandonment in less productive zones, is contributing to the degradation and fragmentation of habitats crucial to pollinator survival. Nitrogen deposition from fertilisers, and widespread pesticide applications, including herbicides that reduce flower diversity, are negatively impacting many pollinators such as the shiny dufourea (Dufourea minuta), a once-widespread bee species which has now almost entirely disappeared from the plains of central Europe and is classified as Endangered.
Compounding these challenges, climate change now affects 52% of threatened species of butterflies – approximately twice as many as in the previous report. Prolonged hot periods, droughts and wildfires are increasingly deteriorating butterfly habitats in southern Europe while encroaching on sensitive bog and tundra habitats in Alpine and Boreal zones. Several species, such as the Critically Endangered Nevada grayling (Pseudochazara williamsi), now restricted to a few mountain ranges in south-east Spain, suffer from a combination of habitat loss and climate change. The effects of warmer temperatures on bees are mixed. While bumblebees and other cold-adapted species groups are negatively affected, others, such as carpenter bees, are benefiting from warmer temperatures, which accelerate their development and breeding.
Dr Denis Michez, Professor at the University of Mons and lead coordinator of the European wild bees assessment, said: ""Up to 90% of flowering plants in Europe depend on animal pollination, especially on bees, which are very diverse in their number and variety of species. Sadly, wild bee populations are in drastic decline and cannot be easily replaced by managed colonies, which comprise less than 1% of the existing species and are selected for their ability to produce honey or pollinate crops. If wild bees disappear, many wild plants might be at risk too – of which flower-rich meadows and beautiful orchid species are just a few examples”.
Dr Martin Warren, former CEO of Butterfly Conservation and one of the lead coordinators of the European butterflies assessment, said: “Many European butterflies are threatened by habitat changes due to rising temperatures. However, by ensuring their habitats are managed as well as possible and populations are large and robust, they stand a chance. Others can be saved from extinction by preventing wildfires, which can obliterate habitats for years.”
The publication of the bee and butterfly assessments follows the first Europe-wide assessment of hoverflies, another crucial pollinator group. Published in 2022, it revealed that 37% of all hoverfly species in Europe are threatened with extinction.
Together, these IUCN Red List assessments make an essential contribution to the knowledge base that underpins the implementation of the EU’s New Deal for Pollinators, especially in tracking progress towards the pollinator targets under the Nature Restoration Regulation.
15 October 2025, Abu Dhabi, United Arab Emirates (IUCN) – Today, The Restoration Initiative (TRI),…
As the interconnected climate and biodiversity crisis deepens, the CBAScale+ team brought together…
Abu Dhabi, United Arab Emirates, 10 October 2025 — At the IUCN World Conservation Congress,…"
Energy Efficiency Directive: Advancing the EU’s energy efficiency goals,https://energy.ec.europa.eu/news/energy-efficiency-directive-advancing-eus-energy-efficiency-goals-2025-10-10_en,10 October 2025,"Tomorrow (11 October) marks the deadline for EU countries to transpose key provisions of the Energy Efficiency Directive, aimed at advancing the EU’s energy efficiency goals.","Tomorrow (11 October) marks the deadline for EU countries to transpose key provisions of the Energy Efficiency Directive (EU/ 2023/1791), aimed at advancing the EU’s energy efficiency goals. Energy efficiency is the most cost-effective and socially inclusive tool to reduce greenhouse gas emissions, reduce the EU’s reliance on imported fossil fuels and improve resilience to energy price shocks. By lowering energy consumption, energy efficiency measures also reduce energy bills for citizens and businesses and strengthen the EU’s industrial competitiveness.
With this directive, agreed by the co-legislators on 10 March 2023 and in force since 10 October 2023, the EU sets a binding goal to achieve an overall reduction in the final energy consumption of 11.7% by 2030 (compared to 2020 projections). Delivering this target demands a concerted effort from all EU countries over the next 5 years, which is reflected in their National Energy and Climate Plans (NECPs). The Commission monitors progress in this domain, notably by analysing NECPs. The Commission’s EU-wide assessment of the cumulative impact of the updated NECPs (COM/2025/274), published in May, indicated that, while many countries have raised their energy efficiency ambitions, further efforts are needed to fully meet the target.
To achieve this objective, the directive mandates that before investing in new energy infrastructure such as power plants, heating systems or grids, public authorities in EU countries check whether improvements in energy efficiency could be a cheaper and cleaner alternative. If so, energy efficient solutions must be prioritised.
Other aspects of the directive require EU countries to
The Commission has been supporting the transposition efforts of EU countries through guidance documents, thematic sessions and bilateral exchanges with EU countries."
"EU’s Leading Role Instrumental in advancing sustainable and inclusive science, technology, and innovation",https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/eus-leading-role-instrumental-advancing-sustainable-and-inclusive-science-technology-and-innovation-2025-10-10_en,10 October 2025,"G20 reinforces international collaboration in science, technology, and innovation (STI) as a cornerstone for addressing global challenges.","The G20 Research, Science and Innovation Ministerial Meeting took place in Tshwane, South Africa, on 23 September 2025, bringing together ministers from G20 members and invited countries to reinforce international collaboration in science, technology, and innovation (STI) as a cornerstone for addressing global challenges.
Throughout South Africa’s G20 Presidency in 2025, the European Commission has played a central and active role in shaping the work of the G20 Research and Innovation Working Group (RIWG). The Commission contributed substantively to the development and negotiation of all core deliverables and the Ministerial Tshwane Declaration, working in close coordination with the Presidency, G20 members and invited countries, and knowledge partners. This included extensive engagement in the drafting and negotiation process, providing policy and technical expertise for all deliverables, and seeking alignment of G20 RIWG priorities with EU core values and principles.
The EU’s contribution was particularly significant in advancing work on Open Innovation and science engagement, including recommendations on countering misinformation, strengthening trust in science, and enhancing access to biodiversity data. The Commission also co-led discussions on equity, inclusion, and ethical research cooperation, ensuring that these values were strongly embedded across all outputs.
Commissioner Ekaterina Zaharieva, representing the EU at the Ministerial meeting in Tshwane, reaffirmed the EU’s commitment to open, inclusive, and responsible science. She underlined the importance of translating principles into action—highlighting the EU’s initiatives on open innovation, biodiversity data sharing, closing the gender gap in STEM and science engagement as examples of EU leadership in global STI cooperation, while strongly advocating for science to be open, inclusive, and trusted.
A key outcome of the meeting was the adoption of the G20 Tshwane Package, supported by UNESCO and the OECD. The package includes important deliverables such as the G20 Recommendations on Enhancing Science Engagement, which reflect many of the EU’s longstanding policy priorities. These recommendations aim to promote openness, transparency, and public trust in science, and strengthen international cooperation in areas such as disaster risk reduction, biodiversity, and gender equality in STI.
The Commission’s sustained involvement throughout the RIWG process has ensured that the G20 STI agenda remains aligned with the EU’s strategic vision: using science and innovation to deliver sustainable, inclusive, and globally connected solutions.
The Chairs Summary report presented at the Tshwane Ministerial meeting positions open science and open innovation as essential tools for addressing global challenges and advancing the Sustainable Development Goals. In this light, leaders committed to fostering collaborative research, enabling scientists to work across borders, coordinating investments in research infrastructure, and strengthening global knowledge-sharing. Additionally, they pledged to preserve and restore ecosystems and expand access to international biodiversity initiatives, including the Global Biodiversity Information Facility (GBIF) and open-access species catalogues.
Equity and inclusion in science are central to the work of G20 science track. Leaders emphasised the importance of equal opportunities and safe workplaces free from harassment while promoting responsible, ethical, and open international research cooperation.
The Ministerial meeting also led to the adoption of the G20 Tshwane package, supported by UNESCO and the OECD, focusing on open innovation, disaster risk reduction, biodiversity data, and gender equality, while also backing regional biodiversity activities and international cooperation on natural history collections. A key deliverable in this package is the G20 Recommendations on enhancing science engagement. Endorsed by all G20 Ministers, this package aims to promote transparency, foster collaboration, build inclusive science systems, counter misinformation, and strengthen public trust in science.
The G20 Research and Innovation Ministerial Meeting is a pivotal forum that brings together G20 members and invited countries to collaborate on pressing global issues through the lens of science, technology, and innovation. Founded in the wake of the 2008 financial crisis, the G20 has expanded its focus to include a diverse range of global challenges, recognising that sustainable development and inclusive growth are closely linked to advancements in STI.
South Africa is holding the G20 Presidency from 1st December 2024 until 31 November 2025. It is the first time the African continent hosts G20. To tackle global crises as climate change, underdevelopment, inequality, poverty, hunger, unemployment, technological changes and geopolitical instability, South Africa has embraced the theme “Solidarity, Equality, Sustainability” for its G20 Presidency.
The 2025 G20 R&I Ministerial meeting, hosted in Tshwane (Pretoria), South Africa, continues the G20 tradition by addressing critical themes such as climate change, biodiversity loss, and socioeconomic inequality. Through its Ministerial Declaration, the G20 strives to foster open innovation, equitable access, and strategic international partnerships, paving the way for collective actions and transformative solutions to the world’s most urgent challenges."
President von der Leyen travels to the Western Balkans,https://enlargement.ec.europa.eu/news/president-von-der-leyen-travels-western-balkans-2025-10-10_en,10 October 2025,"The President of the European Commission, Ursula von der Leyen, will travel to the Western Balkans on Sunday. This will be the occasion to reiterate the EU’s support for the region’s EU accession path and gradual access to the Single Market, and to discuss the EU’s €6 billion Growth Plan for the...","The President of the European Commission, Ursula von der Leyen, will travel to the Western Balkans on Sunday. This will be the occasion to reiterate the EU’s support for the region’s EU accession path and gradual access to the Single Market, and to discuss the EU’s €6 billion Growth Plan for the Western Balkans for 2024-2027.
On Monday morning, President von der Leyen will meet the President of Albania, Bajram Begaj, as well as Edi Rama, the Prime Minister of the country, in Tirana. On Monday afternoon, she will deliver a speech of the Regional Investment Conference for the Western Balkans, before travelling to Tivat, Montenegro.
In Tivat, President von der Leyen will hold meetings with the President of Montenegro, Jakov Milatović, and with the Prime Minister of Montenegro, Milojko Spajić. On Tuesday, still in Tivat, she will deliver the opening speech at the Montenegro Investment conference, before heading to Bosnia and Herzegovina.
In Bosnia and Herzegovina, the President will visit the Srebrenica memorial and participate in Sarajevo in a meeting with the members of the Bosnia and Herzegovina Trio Presidency. She will then meet with the Chairwoman of the Council of Ministers, Borjana Krišto.
On Wednesday morning, President von der Leyen will be in Serbia. She will have a bilateral meeting with the Prime Minister of Serbia Đuro Macut, then with President Aleksandar Vučić.
On Wednesday afternoon, President von der Leyen will travel to Pristina, where she will meet with the President of Kosovo, Vjosa Osmani-Sadriu, and later with the caretaking Prime Minister, Albin Kurti.
Still on Wednesday afternoon, the President will travel to Skopje. She will hold a series of bilateral meetings with the Prime Minister of North Macedonia, Hristijan Mickoski, with the President of North Macedonia, Gordana Siljanovska-Davkova, and with the Speaker of Parliament, Afrim Gashi, concluding her trip to the region.
The President will hold press conferences and speeches throughout her tour, which will be broadcast on EBS.
This year´s visit by President von der Leyen to the Western Balkans follows those of 2024, 2023, 2022 and 2021. She repeated the importance of the region for the European Union on multiple occasions over the past year, including in her 2025 State of the Union speech, at the May 2025 summit of the European Political Community and the December 2024 EU-Western Balkans Summit.
(For more information: Arianna Podestà – Tel.: +32 2 298 70 24)"
Fishing vessel engine power - new Commission guidance for monitoring and control,https://oceans-and-fisheries.ec.europa.eu/news/fishing-vessel-engine-power-new-commission-guidance-monitoring-and-control-2025-10-10_en,10 October 2025,The European Commission has published two technical guidance documents to support EU countries in improving their systems for monitoring and controlling the engine power of fishing vessels.,"The European Commission has published two technical guidance documents to support EU countries in improving their systems for monitoring and controlling the engine power of fishing vessels.
Engine power of fishing vessels is one of the measures used to control fishing effort and to determine the size of European fishing fleets, in order to ensure the sustainable management of marine resources. Reliable registered power values are crucial for effective fishing effort management.
Both guidance documents address shortcomings identified in the 2019 Commission study on engine power verification and also respond to EU countries’ requests for technical support.
They aim to foster sustainable fishing practices and provide support to EU countries for the upcoming implementation of the new continuous engine power monitoring systems, which will become mandatory in January 2028 following the revision of the fisheries Control Regulation.
Both guidance documents have been developed with the help of EU countries’ experts in the field of engine power certification and verification, as well as other external experts and relevant stakeholders.
Under the EU’s common fisheries policy (CFP), the engine power (kW) of a fishing vessel is a key metric for ensuring the sustainable management of fish stocks. Accurate data on engine power allows to regulate the size of the European fishing fleet, for which the CFP sets specific ceilings for each EU country.
In other words, by accurately declaring, registering and controlling engine power, EU countries crucially contribute to:
The two new documents provide the following specific technical advice:
This document will help EU countries setting up harmonised systems for monitoring, certifying and verifying the engine power of catching vessels, as required by the EU fisheries Control Regulation.
The EU fisheries Control Regulation requires the continuous monitoring of engine power for certain categories of high-risk catching vessels as of 10 January 2028. This document will provide EU countries with technical specifications to prepare for a successful and timely rollout.
The Commission has invited EU countries to use both guidance documents when implementing the fisheries Control Regulation. It has also invited EU countries to report to the Commission any implementation issues they encounter, providing input for potential follow-up actions and knowledge-sharing within the technical working group.
EU fisheries control system
Study on engine power verification by Member States, Final report
Technical guidance for the monitoring, certification and verification of engine power in EU fisheries control
Technical specifications and guidance for the implementation of devices for the continuous monitoring of catching vessels’ engine power"
Global Gateway Forum: EU and EDFI sign three guarantee agreements to mobilise private investments in partner countries,https://international-partnerships.ec.europa.eu/news-and-events/news/global-gateway-forum-eu-and-edfi-sign-three-guarantee-agreements-mobilise-private-investments-2025-10-10_en,10 October 2025,"Today at the Global Gateway Forum, the European Commission and European Development Finance Institutions announced three new guarantee agreements to mobilise private finance for development.","Find out more on the speakers headlining the 2025 edition of the Global Gateway Forum
Find out more on our support to media representatives who would like to report on the 2025 edition of the event
The separate side event will provide pragmatic follow-up to the ongoing efforts for creating sustainable value chains for Sargassum in the framework of the Global Gateway strategy and give a push to approaches and operations in strategic and financial terms
The side event among IMEC signatories will drive forward planning for the corridor, from mapping initiatives to preparing feasibility studies and will advance work on finalising a governance framework."
OLAF Acting Director-General meets key Albanian authorities to strengthen cooperation on protecting EU financial interests,https://anti-fraud.ec.europa.eu/media-corner/news/olaf-acting-director-general-meets-key-albanian-authorities-strengthen-cooperation-protecting-eu-2025-10-10_en,10 October 2025,"On the margins of the 2025 AFCOS Seminar held in Tirana on 8–9 October, OLAF’s Acting Director-General Salla Saastamoinen met with senior Albanian counterparts to discuss ongoing cooperation in protecting the EU's financial interests and supporting Albania’s progress towards EU accession.","On the margins of the 2025 AFCOS Seminar held in Tirana on 8–9 October, OLAF’s Acting Director-General Salla Saastamoinen met with senior Albanian counterparts to discuss ongoing cooperation in protecting the European Union’s financial interests and supporting Albania’s progress towards EU accession.
In discussions with Petrit Malaj, Albanian Minister of Finance, attention was given to Albania’s progress in strengthening anti-fraud systems and aligning with EU accession requirements on the protection of the EU’s financial interests. The talks highlighted the implementation of the National Anti-Fraud Action Strategy 2025–2030, which reinforces the role of the Anti-Fraud Coordination Service (AFCOS) and underlined the importance of continued cooperation and regular dialogue to ensure sound financial management in line with EU standards.
A meeting with Altin Dumani, Chief Prosecutor of Albania’s independent prosecution office, the Special Structure against Corruption and Organised Crime (SPAK), focused on cooperation in the investigation of cases involving potential misuse of EU funds. Collaboration between OLAF and SPAK is increasing, with OLAF offering expertise to support SPAK in investigating complex fraud cases. Both institutions welcomed recent progress and reaffirmed their commitment to further strengthening operational cooperation.
Discussions with the Head of the State Agency of Strategic Programming and Aid Coordination (SASPAC), Eridana Çano and her team, centred on Albania’s national audit and control systems. The exchange highlighted SASPAC’s role as a key actor in coordinating international and EU financial assistance and in managing pre-accession funds, drawing on its extensive experience and regular contacts with the European Commission.
Through these meetings, OLAF and the Albanian authorities reaffirmed their shared commitment to protecting the EU’s financial interests and to strengthening cooperation as Albania advances on its path towards EU membership."
The Commission moves forward on cloud sovereignty with a EUR 180 million tender,/news-and-media/news/commission-moves-forward-cloud-sovereignty-eur-180-million-tender-2025-10-10_en,10 October 2025,"As part of its efforts to strengthen its cloud sovereignty, the European Commission is procuring up to EUR 180 million of sovereign cloud services.","Launched as a competition under the Cloud III Dynamic Purchasing System (Cloud III DPS), the tender will allow EU institutions, bodies, offices and agencies to procure sovereign Cloud services over 6 years. The tender establishes a benchmark for how sovereignty is applied in practice to cloud services.
Up to four providers, registered in the Cloud III DPS, will be awarded a contract under a new Cloud Sovereignty Framework. This framework measures sovereignty across eight concrete objectives. These objectives include strategic, legal, operational, and environmental considerations, as well as supply chain transparency, technological openness, security, and compliance to EU laws. By setting minimum assurance levels for each, the Commission creates a level playing field where cloud providers active on the EU market can demonstrate their sovereignty strengths. It drives the entire sector towards compliance with European standards and values.
As the Commission continues to prioritise digital sovereignty, this tender marks a significant step towards creating a more resilient digital environment. The Cloud Sovereignty Framework is envisioned as a reference point for cloud providers and a catalyst for the growth of the EU cloud market, especially in the public sector.
The tender is expected to be awarded between December 2025 and February 2026."
Global Gateway Forum: EU for strategic expansion of the Medusa Submarine Cable System to the Middle East,https://north-africa-middle-east-gulf.ec.europa.eu/news/global-gateway-forum-eu-strategic-expansion-medusa-submarine-cable-system-middle-east-2025-10-10_en,10 October 2025,"The strategic expansion of the Medusa Submarine Cable System is key for further enhancing connectivity in the Mediterranean. At today’s panel discussion organised by the European Commission’s Directorate-General for the Middle East, North Africa and Gulf (DG MENA) at the Global Gateway Forum...","The strategic expansion of the Medusa Submarine Cable System is key for further enhancing connectivity in the Mediterranean. At today’s panel discussion organised by the European Commission’s Directorate-General for the Middle East, North Africa and Gulf (DG MENA) at the Global Gateway Forum, this objective was confirmed. The EU reaffirmed its commitment to support both Medusa’s ongoing development and its expansion most notably to the Middle East.
The Medusa Submarine Cable System, owned by AFR-IX telecom and with a projected cost of €342 million, is the landmark digital infrastructure initiative, with 8700 km of high-speed internet cable being deployed across the Mediterranean. Medusa will directly interconnect the Northern and Southern shores of the Mediterranean, providing a high-capacity, multi-country, future-proof optical fibre submarine cable.
Through this programme, almost 500 education and research establishments in North Africa will be provided with improved connection to EU National Research and Education Networks (NRENs). Via funds to the European Investment Bank (EIB), the EU connects research centres in the Southern Neighbourhood and via funds to GÉANT, the European National Research and Education Networks, it increases the capacity of NRENs. Through the Connecting Europe Facility, the EU supports the deployment of the submarine cables.
Today, DG MENA gathered representatives of AFR-IX, EU Member States, partner countries, banks and private sector to discuss possible strategic expansion of Medusa, focusing on digital connectivity to Jordan, and the broader Middle East. The session served for stakeholders to identify concrete investment opportunities in the digital sector, to enhance existing partnerships and work together for the future of the Mediterranean.
The European Commissioner for the Mediterranean, Dubravka Šuica, said: “The Mediterranean has always been a sea of connection - for thousands of years, people and goods have crossed its waters. Today, a new link binds us together beneath the surface: submarine cables. The Medusa system is a remarkable example of how innovation can bridge distances, delivering high-quality internet to communities, schools, and research institutions across the region. In a rapidly changing world, Medusa ensures that no one is left behind - not even in the digital realm.”
Medusa Submarine Cable System
The digital markets in the MENA region have been rapidly evolving but, disparities in internet access and speed remain, due to regulatory hurdles, limited infrastructure, and broader political and economic challenges. On the other hand, opportunities can be found in the expansion of fibre-optic infrastructure, and government-backed digital transformation initiatives.
With a projected cost of €342 million, including an DG MENA’s contribution of €40 million, the Medusa optical fibre submarine cable is crucial in meeting the growing demand for high-speed data traffic, as submarine cables support 98% of global internet traffic. The landing points of the cable include:
Global Gateway Forum
The Global Gateway Forum brings together an assembly of leaders from the European Union and across the globe, alongside key stakeholders from the private sector, civil society, thought leaders, financial institutions, and international organisations to promote global investment in infrastructure - hard and soft - to deliver on the SDGs and sustainable growth and resilience worldwide.
Global Gateway
Global Gateway is the EU's positive offer to reduce the worldwide investment disparity and boost smart, clean and secure connections in digital, energy and transport sectors, and to strengthen health, education and research systems.
The Global Gateway strategy embodies a Team Europe approach that brings together the European Union, EU Member States, and European development finance institutions. Together, we aim to mobilise up to €300 billion in public and private investments from 2021 to 2027, creating essential links rather than dependencies, and closing the global investment gap.
For More Information"
"EU updates list of non-cooperative tax jurisdictions, reinforcing commitment to global tax transparency",https://taxation-customs.ec.europa.eu/news/eu-updates-list-non-cooperative-tax-jurisdictions-reinforcing-commitment-global-tax-transparency-2025-10-10_en,10 October 2025,"EU Finance Ministers today updated the EU list of non-cooperative tax jurisdictions, reaffirming the European Union’s steadfast commitment to promoting tax transparency and fair taxation globally.","Annex I identifies jurisdictions considered non-cooperative in tax matters, remains unchanged, and comprises 11 jurisdictions: American Samoa, Anguilla, Fiji, Guam, Palau, Panama, the Russian Federation, Samoa, Trinidad & Tobago, US Virgin Islands, and Vanuatu. The update acknowledges progress made by some jurisdictions in addressing longstanding concerns, reflecting ongoing efforts to align with international tax standards.
Annex II highlights constructive cooperation with international partners. Viet Nam has been removed from Annex II after successfully implementing the OECD’s BEPS minimum standard on Country-by-Country Reporting. Additionally, five jurisdictions have made new formal commitments to improve tax transparency and address deficiencies in Country-by-Country Reporting, bringing the total number of jurisdictions in Annex II to 11. These jurisdictions are: Antigua and Barbuda, Belize, British Virgin Islands, Brunei Darussalam, Eswatini, Greenland, Jordan, Montenegro, Morocco, Seychelles, and Türkiye. The EU will closely monitor these commitments to ensure timely implementation.
Annex 1: 11 JurisdictionsAmerican Samoa, Anguilla, Fiji, Guam, Palau, Panama, Russian Federation, Samoa, Trinidad and Tobago, US Virgin Islands, Vanuatu
Annex 2: 11 JurisdictionsAntigua and Barbuda, Belize, British Virgin Islands, Brunei Darussalam, Eswatini, Greenland, Jordan, Montenegro, Morocco, Seychelles, Türkiye
The EU list serves as a tool to encourage jurisdictions to adopt robust tax governance standards, combatting tax fraud, evasion, and avoidance worldwide. Based on objective, internationally recognised criteria—such as tax transparency and adherence to anti-BEPS (Base Erosion and Profit Shifting) standards—the list facilitates dialogue and cooperation between the EU and international partners.
The EU list of non-cooperative jurisdictions for tax purposes is an intergovernmental process led by the Council. The European Commission provides technical assistance to jurisdictions in the scope of the exercise seeking to improve their tax frameworks and collaborates with EU Member States to revise and strengthen the listing criteria in line with international developments. Ongoing efforts include enhancing coordination among Member States on applying defensive tax measures against listed jurisdictions. The list is reviewed twice annually to ensure it remains relevant and accurate over time.
Council conclusions on the revised EU list of non-cooperative jurisdictions for tax purposes
Common EU list of third country jurisdictions for tax purposes
EU list of non-cooperative jurisdictions for tax purposes - European Council"
