title,link,date,summary
Mounting risks threaten survival of wild European pollinators – IUCN Red List,https://environment.ec.europa.eu/news/mounting-risks-threaten-survival-wild-european-pollinators-2025-10-11_en,11 October 2025,Nearly 100 additional wild bee species in Europe have been classified as threatened in a new assessment for the IUCN Red List of Threatened Species.
Energy Efficiency Directive: Advancing the EU’s energy efficiency goals,https://energy.ec.europa.eu/news/energy-efficiency-directive-advancing-eus-energy-efficiency-goals-2025-10-10_en,10 October 2025,"Tomorrow (11 October) marks the deadline for EU countries to transpose key provisions of the Energy Efficiency Directive, aimed at advancing the EU’s energy efficiency goals."
"EU’s Leading Role Instrumental in advancing sustainable and inclusive science, technology, and innovation",https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/eus-leading-role-instrumental-advancing-sustainable-and-inclusive-science-technology-and-innovation-2025-10-10_en,10 October 2025,"G20 reinforces international collaboration in science, technology, and innovation (STI) as a cornerstone for addressing global challenges."
President von der Leyen travels to the Western Balkans,https://enlargement.ec.europa.eu/news/president-von-der-leyen-travels-western-balkans-2025-10-10_en,10 October 2025,"The President of the European Commission, Ursula von der Leyen, will travel to the Western Balkans on Sunday. This will be the occasion to reiterate the EU’s support for the region’s EU accession path and gradual access to the Single Market, and to discuss the EU’s €6 billion Growth Plan for the..."
Fishing vessel engine power - new Commission guidance for monitoring and control,https://oceans-and-fisheries.ec.europa.eu/news/fishing-vessel-engine-power-new-commission-guidance-monitoring-and-control-2025-10-10_en,10 October 2025,The European Commission has published two technical guidance documents to support EU countries in improving their systems for monitoring and controlling the engine power of fishing vessels.
Global Gateway Forum: EU and EDFI sign three guarantee agreements to mobilise private investments in partner countries,https://international-partnerships.ec.europa.eu/news-and-events/news/global-gateway-forum-eu-and-edfi-sign-three-guarantee-agreements-mobilise-private-investments-2025-10-10_en,10 October 2025,"Today at the Global Gateway Forum, the European Commission and European Development Finance Institutions announced three new guarantee agreements to mobilise private finance for development."
OLAF Acting Director-General meets key Albanian authorities to strengthen cooperation on protecting EU financial interests,https://anti-fraud.ec.europa.eu/media-corner/news/olaf-acting-director-general-meets-key-albanian-authorities-strengthen-cooperation-protecting-eu-2025-10-10_en,10 October 2025,"On the margins of the 2025 AFCOS Seminar held in Tirana on 8–9 October, OLAF’s Acting Director-General Salla Saastamoinen met with senior Albanian counterparts to discuss ongoing cooperation in protecting the EU's financial interests and supporting Albania’s progress towards EU accession."
The Commission moves forward on cloud sovereignty with a EUR 180 million tender,/news-and-media/news/commission-moves-forward-cloud-sovereignty-eur-180-million-tender-2025-10-10_en,10 October 2025,"As part of its efforts to strengthen its cloud sovereignty, the European Commission is procuring up to EUR 180 million of sovereign cloud services."
Global Gateway Forum: EU for strategic expansion of the Medusa Submarine Cable System to the Middle East,https://north-africa-middle-east-gulf.ec.europa.eu/news/global-gateway-forum-eu-strategic-expansion-medusa-submarine-cable-system-middle-east-2025-10-10_en,10 October 2025,"The strategic expansion of the Medusa Submarine Cable System is key for further enhancing connectivity in the Mediterranean. At today’s panel discussion organised by the European Commission’s Directorate-General for the Middle East, North Africa and Gulf (DG MENA) at the Global Gateway Forum..."
"EU updates list of non-cooperative tax jurisdictions, reinforcing commitment to global tax transparency",https://taxation-customs.ec.europa.eu/news/eu-updates-list-non-cooperative-tax-jurisdictions-reinforcing-commitment-global-tax-transparency-2025-10-10_en,10 October 2025,"EU Finance Ministers today updated the EU list of non-cooperative tax jurisdictions, reaffirming the European Union’s steadfast commitment to promoting tax transparency and fair taxation globally."
